0x4a64320, 0x4a64430
0x4a6ac80, 0x4a6a930
0x4a6a930, 0x4a6a760
0x4a6a930, 0x4a6a870
0x4a6a760, 0x4a6a5e0
0x4a6a760, 0x4a6a6a0
0x4a6af40, 0x4a6b180
0x4a6af40, 0x4a6b000
0x4a6af40, 0x4a6b790
0x4a6b180, 0x4a6b070
0x4a6b180, 0x4a6ae30
0x4a6b790, 0x4a6b9d0
0x4a6b790, 0x4a6b850
0x4a6b9d0, 0x4a6b8c0
0x4a6b9d0, 0x4a6b680
0x4a6b680, 0x4a6b4b0
0x4a6b680, 0x4a6b5c0
0x4a6b4b0, 0x4a6b330
0x4a6b4b0, 0x4a6b3f0
0x4a6bc60, 0x4a6bbf0
0x4a6bc60, 0x4a6be80
0x4a6be80, 0x4a6be10
0x4a6be80, 0x4a6c160
0x4a6c160, 0x4a6c0f0
0x4a6c160, 0x4a6cb80
0x4a6c0f0, 0x4a6c080
0x4a6cb80, 0x4a6cb10
0x4a6cb80, 0x4a6d7e0
0x4a6cb10, 0x4a6c580
0x4a6cb10, 0x4a6c810
0x4a6cb10, 0x4a6caa0
0x4a6c580, 0x4a6c3b0
0x4a6c580, 0x4a6c4c0
0x4a6c810, 0x4a6c750
0x4a6c810, 0x4a6c6e0
0x4a6caa0, 0x4a6c9e0
0x4a6caa0, 0x4a6c970
0x4a6d7e0, 0x4a6d770
0x4a6d7e0, 0x4a6ed00
0x4a6d770, 0x4a6d470
0x4a6d770, 0x4a6d700
0x4a6d470, 0x4a6d340
0x4a6d470, 0x4a6d400
0x4a6d340, 0x4a6cf00
0x4a6d340, 0x4a6d280
0x4a6cf00, 0x4a6cd80
0x4a6cf00, 0x4a6ce40
0x4a6d280, 0x4a6d010
0x4a6d280, 0x4a6d1c0
0x4a6d700, 0x4a6d640
0x4a6d700, 0x4a6d5d0
0x4a6ed00, 0x4a6ec90
0x4a6ed00, 0x4a6ff20
0x4a6ec90, 0x4a6e0d0
0x4a6ec90, 0x4a6e360
0x4a6ec90, 0x4a6e990
0x4a6e0d0, 0x4a6dfa0
0x4a6e0d0, 0x4a6e060
0x4a6dfa0, 0x4a6db60
0x4a6dfa0, 0x4a6dee0
0x4a6db60, 0x4a6d9e0
0x4a6db60, 0x4a6daa0
0x4a6dee0, 0x4a6dc70
0x4a6dee0, 0x4a6de20
0x4a6e360, 0x4a6e2a0
0x4a6e360, 0x4a6e230
0x4a6e990, 0x4a6e690
0x4a6e990, 0x4a6e920
0x4a6e990, 0x4a6ec20
0x4a6e690, 0x4a6e510
0x4a6e690, 0x4a6e5d0
0x4a6e920, 0x4a6e860
0x4a6e920, 0x4a6e7f0
0x4a6ec20, 0x4a6eb60
0x4a6ec20, 0x4a6eaf0
0x4a6ff20, 0x4a6feb0
0x4a6ff20, 0x4a70c70
0x4a6feb0, 0x4a6f0d0
0x4a6feb0, 0x4a6f360
0x4a6feb0, 0x4a6f7c0
0x4a6feb0, 0x4a6fc20
0x4a6f0d0, 0x4a6f010
0x4a6f0d0, 0x4a6efa0
0x4a6f360, 0x4a6f1e0
0x4a6f360, 0x4a6f2a0
0x4a6f7c0, 0x4a6f700
0x4a6f7c0, 0x4a6f690
0x4a6f690, 0x4a6f510
0x4a6f690, 0x4a6f5d0
0x4a6fc20, 0x4a6fb60
0x4a6fc20, 0x4a6faf0
0x4a6fc20, 0x4a6fe40
0x4a6faf0, 0x4a6f920
0x4a6faf0, 0x4a6fa30
0x4a6fe40, 0x4a6fdd0
0x4a70c70, 0x4a70c00
0x4a70c70, 0x4a71450
0x4a70c00, 0x4a70510
0x4a70c00, 0x4a70730
0x4a70510, 0x4a70390
0x4a70510, 0x4a70450
0x4a70390, 0x4a70210
0x4a70390, 0x4a702d0
0x4a70730, 0x4a706c0
0x4a70730, 0x4a70b90
0x4a70b90, 0x4a70ad0
0x4a70b90, 0x4a70a60
0x4a70a60, 0x4a708e0
0x4a70a60, 0x4a709a0
0x4a71450, 0x4a71040
0x4a71450, 0x4a75450
0x4a71040, 0x4a70f80
0x4a71040, 0x4a70f10
0x4a71040, 0x4a713e0
0x4a713e0, 0x4a71370
0x4a71370, 0x4a711f0
0x4a71370, 0x4a712b0
0x4a75450, 0x4a717d0
0x4a75450, 0x4a79560
0x4a717d0, 0x4a71710
0x4a717d0, 0x4a716a0
0x4a717d0, 0x4a721a0
0x4a721a0, 0x4a720e0
0x4a721a0, 0x4a71930
0x4a721a0, 0x4a72a10
0x4a71930, 0x4a72070
0x4a72070, 0x4a719f0
0x4a72070, 0x4a71fb0
0x4a719f0, 0x4a71bc0
0x4a71fb0, 0x4a71ea0
0x4a71fb0, 0x4a71d20
0x4a71d20, 0x4a71e30
0x4a72a10, 0x4a72950
0x4a72a10, 0x4a728e0
0x4a72a10, 0x4a73150
0x4a728e0, 0x4a727d0
0x4a728e0, 0x4a72760
0x4a72760, 0x4a723a0
0x4a72760, 0x4a726a0
0x4a723a0, 0x4a72460
0x4a726a0, 0x4a72520
0x4a726a0, 0x4a725e0
0x4a73150, 0x4a73090
0x4a73150, 0x4a73020
0x4a73150, 0x4a74230
0x4a73020, 0x4a72f10
0x4a73020, 0x4a72ea0
0x4a72ea0, 0x4a72c10
0x4a72ea0, 0x4a72de0
0x4a72c10, 0x4a72d20
0x4a74230, 0x4a74170
0x4a74230, 0x4a74100
0x4a74230, 0x4a753e0
0x4a74100, 0x4a73520
0x4a74100, 0x4a74090
0x4a73520, 0x4a732b0
0x4a73520, 0x4a73460
0x4a74090, 0x4a737b0
0x4a74090, 0x4a73b70
0x4a74090, 0x4a73f80
0x4a737b0, 0x4a73630
0x4a737b0, 0x4a736f0
0x4a73b70, 0x4a739f0
0x4a73b70, 0x4a73ab0
0x4a739f0, 0x4a73870
0x4a739f0, 0x4a73930
0x4a73f80, 0x4a73e00
0x4a73f80, 0x4a73ec0
0x4a73e00, 0x4a73c80
0x4a73e00, 0x4a73d40
0x4a753e0, 0x4a75320
0x4a753e0, 0x4a752b0
0x4a752b0, 0x4a74600
0x4a752b0, 0x4a75240
0x4a74600, 0x4a74390
0x4a74600, 0x4a74540
0x4a75240, 0x4a74ab0
0x4a75240, 0x4a74b70
0x4a75240, 0x4a75130
0x4a74ab0, 0x4a74930
0x4a74ab0, 0x4a749f0
0x4a74b70, 0x4a74d90
0x4a75130, 0x4a74e50
0x4a75130, 0x4a75070
0x4a79560, 0x4a75910
0x4a79560, 0x4a7f500
0x4a75910, 0x4a75850
0x4a75910, 0x4a757e0
0x4a75910, 0x4a75ef0
0x4a757e0, 0x4a75660
0x4a757e0, 0x4a75720
0x4a75ef0, 0x4a75e30
0x4a75ef0, 0x4a75dc0
0x4a75ef0, 0x4a76d90
0x4a75dc0, 0x4a75ac0
0x4a75dc0, 0x4a75d00
0x4a75d00, 0x4a75b80
0x4a75d00, 0x4a75c40
0x4a76d90, 0x4a76cd0
0x4a76d90, 0x4a76c60
0x4a76d90, 0x4a78290
0x4a76c60, 0x4a76ae0
0x4a76c60, 0x4a76ba0
0x4a76ae0, 0x4a76270
0x4a76ae0, 0x4a76a20
0x4a76270, 0x4a76160
0x4a76270, 0x4a760f0
0x4a76a20, 0x4a76910
0x4a76a20, 0x4a768a0
0x4a768a0, 0x4a765a0
0x4a768a0, 0x4a767e0
0x4a765a0, 0x4a76420
0x4a765a0, 0x4a764e0
0x4a767e0, 0x4a76660
0x4a767e0, 0x4a76720
0x4a78290, 0x4a781d0
0x4a78290, 0x4a78160
0x4a78290, 0x4a794f0
0x4a78160, 0x4a772e0
0x4a78160, 0x4a780a0
0x4a772e0, 0x4a77110
0x4a772e0, 0x4a77220
0x4a77110, 0x4a77000
0x4a77110, 0x4a76f90
0x4a780a0, 0x4a77da0
0x4a780a0, 0x4a77fe0
0x4a77da0, 0x4a77c20
0x4a77da0, 0x4a77ce0
0x4a77c20, 0x4a77610
0x4a77c20, 0x4a77b60
0x4a77610, 0x4a77500
0x4a77610, 0x4a77490
0x4a77b60, 0x4a77a50
0x4a77b60, 0x4a779e0
0x4a77fe0, 0x4a77e60
0x4a77fe0, 0x4a77f20
0x4a794f0, 0x4a79430
0x4a794f0, 0x4a793c0
0x4a793c0, 0x4a79130
0x4a793c0, 0x4a791f0
0x4a79130, 0x4a78ea0
0x4a79130, 0x4a78f60
0x4a78ea0, 0x4a78c10
0x4a78ea0, 0x4a78cd0
0x4a78c10, 0x4a78980
0x4a78c10, 0x4a78a40
0x4a78980, 0x4a786f0
0x4a78980, 0x4a787b0
0x4a786f0, 0x4a783f0
0x4a786f0, 0x4a78570
0x4a783f0, 0x4a784b0
0x4a78570, 0x4a78630
0x4a787b0, 0x4a788c0
0x4a78a40, 0x4a78b50
0x4a78cd0, 0x4a78de0
0x4a78f60, 0x4a79070
0x4a791f0, 0x4a79300
0x4a7f500, 0x4a79b10
0x4a7f500, 0x4a81660
0x4a79b10, 0x4a79a50
0x4a79b10, 0x4a799e0
0x4a79b10, 0x4a7a010
0x4a799e0, 0x4a79860
0x4a799e0, 0x4a79970
0x4a7a010, 0x4a79f50
0x4a7a010, 0x4a79ee0
0x4a7a010, 0x4a7a4c0
0x4a79ee0, 0x4a79d60
0x4a79ee0, 0x4a79e70
0x4a7a4c0, 0x4a7a400
0x4a7a4c0, 0x4a7a390
0x4a7a4c0, 0x4a7a970
0x4a7a390, 0x4a7a1c0
0x4a7a390, 0x4a7a2d0
0x4a7a970, 0x4a7a8b0
0x4a7a970, 0x4a7a840
0x4a7a970, 0x4a7ae20
0x4a7a840, 0x4a7a670
0x4a7a840, 0x4a7a780
0x4a7ae20, 0x4a7ad60
0x4a7ae20, 0x4a7acf0
0x4a7ae20, 0x4a7b2d0
0x4a7acf0, 0x4a7ab20
0x4a7acf0, 0x4a7ac30
0x4a7b2d0, 0x4a7b210
0x4a7b2d0, 0x4a7b1a0
0x4a7b2d0, 0x4a7b7d0
0x4a7b1a0, 0x4a7afd0
0x4a7b1a0, 0x4a7b0e0
0x4a7b7d0, 0x4a7b710
0x4a7b7d0, 0x4a7b6a0
0x4a7b7d0, 0x4a7bcd0
0x4a7b6a0, 0x4a7b520
0x4a7b6a0, 0x4a7b630
0x4a7bcd0, 0x4a7bc10
0x4a7bcd0, 0x4a7bba0
0x4a7bcd0, 0x4a7c1d0
0x4a7bba0, 0x4a7ba20
0x4a7bba0, 0x4a7bb30
0x4a7c1d0, 0x4a7c110
0x4a7c1d0, 0x4a7c0a0
0x4a7c1d0, 0x4a7c6d0
0x4a7c0a0, 0x4a7bf20
0x4a7c0a0, 0x4a7c030
0x4a7c6d0, 0x4a7c610
0x4a7c6d0, 0x4a7c5a0
0x4a7c6d0, 0x4a7ddb0
0x4a7c5a0, 0x4a7c420
0x4a7c5a0, 0x4a7c530
0x4a7ddb0, 0x4a7dcf0
0x4a7ddb0, 0x4a7dc80
0x4a7ddb0, 0x4a7f490
0x4a7dc80, 0x4a7cb40
0x4a7dc80, 0x4a7dc10
0x4a7cb40, 0x4a7c920
0x4a7cb40, 0x4a7cad0
0x4a7dc10, 0x4a7ce20
0x4a7dc10, 0x4a7db50
0x4a7ce20, 0x4a7cc50
0x4a7ce20, 0x4a7cd60
0x4a7db50, 0x4a7d9d0
0x4a7db50, 0x4a7dae0
0x4a7d9d0, 0x4a7d7b0
0x4a7d9d0, 0x4a7d960
0x4a7d7b0, 0x4a7d590
0x4a7d7b0, 0x4a7d740
0x4a7d590, 0x4a7d370
0x4a7d590, 0x4a7d520
0x4a7d370, 0x4a7d100
0x4a7d370, 0x4a7d2b0
0x4a7d100, 0x4a7cf30
0x4a7d100, 0x4a7d040
0x4a7f490, 0x4a7f3d0
0x4a7f490, 0x4a7f360
0x4a7f360, 0x4a7e000
0x4a7f360, 0x4a7f2f0
0x4a7f2f0, 0x4a7f170
0x4a7f2f0, 0x4a7f280
0x4a7f170, 0x4a7ec90
0x4a7f170, 0x4a7f060
0x4a7ec90, 0x4a7e1b0
0x4a7ec90, 0x4a7ec20
0x4a7ec20, 0x4a7e490
0x4a7ec20, 0x4a7eb60
0x4a7e490, 0x4a7e2c0
0x4a7e490, 0x4a7e3d0
0x4a7eb60, 0x4a7e940
0x4a7eb60, 0x4a7eaf0
0x4a7e940, 0x4a7e770
0x4a7e940, 0x4a7e880
0x4a7e770, 0x4a7e5a0
0x4a7e770, 0x4a7e6b0
0x4a7f060, 0x4a7eee0
0x4a7f060, 0x4a7eff0
0x4a81660, 0x4a7fb90
0x4a7fb90, 0x4a7fad0
0x4a7fb90, 0x4a7fa60
0x4a7fb90, 0x4a815f0
0x4a7fa60, 0x4a7f710
0x4a7fa60, 0x4a7f890
0x4a7fa60, 0x4a7f950
0x4a7f710, 0x4a7f7d0
0x4a815f0, 0x4a81530
0x4a815f0, 0x4a814c0
0x4a814c0, 0x4a800e0
0x4a814c0, 0x4a80c90
0x4a814c0, 0x4a813b0
0x4a800e0, 0x4a7ff60
0x4a800e0, 0x4a80020
0x4a80c90, 0x4a80520
0x4a80c90, 0x4a808f0
0x4a80c90, 0x4a80b80
0x4a80520, 0x4a803a0
0x4a80520, 0x4a80460
0x4a80b80, 0x4a80a00
0x4a80b80, 0x4a80ac0
0x4a813b0, 0x4a81080
0x4a813b0, 0x4a81190
0x4a813b0, 0x4a812a0
0x4a81080, 0x4a80f00
0x4a81080, 0x4a80fc0
0x4a64320 [label="foo0x4a64430 [label="foo0x4a64540 [label="foo0x4a64650 [label="foo0x4a64760 [label="foo0x4a64870 [label="foo0x4a64980 [label="foo0x4a64a90 [label="foo0x4a64ba0 [label="foo0x4a64cb0 [label="foo0x4a64dc0 [label="foo0x4a651f0 [label="foo0x4a65620 [label="foo0x4a659b0 [label="foo0x4a67190 [label="foo0x4a66230 [label="<=0x4a661c0 [label="var_a"];
0x4a66150 [label="0"];
0x4a66560 [label="<=0x4a664f0 [label="var"];
0x4a66480 [label="c"];
0x4a66890 [label="<=0x4a66820 [label="var"];
0x4a667b0 [label="var_2"];
0x4a66d50 [label="<=0x4a66ce0 [label="d"];
0x4a66c70 [label="10"];
0x4a67120 [label="<=0x4a670b0 [label="f"];
0x4a67040 [label="b"];
"];
"];
"];
"];
"];
0x4a67c40 [label="foo0x4a67660 [label="call bar0x4a67bd0 [label="call foobar"];
"];
0x4a686d0 [label="foo0x4a67f70 [label="=0x4a67eb0 [label="identificador"];
0x4a67e40 [label="0"];
0x4a683d0 [label="=0x4a68310 [label="[]0x4a68200 [label="vector"];
0x4a680d0 [label="0"];
"];
0x4a68190 [label="90"];
0x4a68660 [label="=0x4a685a0 [label="var"];
0x4a68530 [label="3.500000"];
"];
"];
"];
0x4a697a0 [label="foo0x4a68990 [label="input0x4a68920 [label="identificador"];
0x4a68bb0 [label="output0x4a68b40 [label="identificador"];
0x4a68d80 [label="output0x4a68d10 [label="10"];
0x4a68f50 [label="output0x4a68ee0 [label="10.200000"];
0x4a69170 [label="output0x4a69100 [label="c"];
0x4a69390 [label="output0x4a69320 [label="string"];
0x4a69560 [label="output0x4a694f0 [label="true"];
0x4a69730 [label="output0x4a696c0 [label="false"];
"];
"];
"];
"];
"];
"];
"];
"];
0x4a6ba40 [label="foo0x4a699f0 [label="<<0x4a69b20 [label="identificador"];
0x4a69ab0 [label="10"];
0x4a69cd0 [label="<<0x4a69e00 [label="identificador"];
0x4a69d90 [label="10"];
0x4a6a1f0 [label="<<0x4a6a430 [label="[]0x4a6a320 [label="identificador"];
0x4a6a0e0 [label="+0x4a69f60 [label="2"];
0x4a6a020 [label="3"];
"];
"];
0x4a6a2b0 [label="10"];
0x4a6aa40 [label="<<0x4a6ac80 [label="[]0x4a6ab70 [label="identificador"];
0x4a6a930 [label="+0x4a6a760 [label="-0x4a6a5e0 [label="var"];
0x4a6a6a0 [label="3"];
"];
0x4a6a870 [label="var2"];
"];
"];
0x4a6ab00 [label="10"];
0x4a6af40 [label=">>0x4a6b180 [label="[]0x4a6b070 [label="identificador"];
0x4a6ae30 [label="var"];
"];
0x4a6b000 [label="10"];
0x4a6b790 [label=">>0x4a6b9d0 [label="[]0x4a6b8c0 [label="identificador"];
0x4a6b680 [label="-0x4a6b4b0 [label="+0x4a6b330 [label="var"];
0x4a6b3f0 [label="3"];
"];
0x4a6b5c0 [label="var2"];
"];
"];
0x4a6b850 [label="3"];
"];
"];
"];
"];
"];
"];
0x4a6bc60 [label="foo0x4a6bbf0 [label="continue"];
0x4a6be80 [label="foo0x4a6be10 [label="break"];
0x4a6c160 [label="foo0x4a6c0f0 [label="return0x4a6c080 [label="10"];
"];
0x4a6cb80 [label="foo0x4a6cb10 [label="if0x4a6c580 [label="&0x4a6c3b0 [label="a"];
0x4a6c4c0 [label="b"];
"];
0x4a6c810 [label="=0x4a6c750 [label="var"];
0x4a6c6e0 [label="2"];
"];
0x4a6caa0 [label="=0x4a6c9e0 [label="var"];
0x4a6c970 [label="3"];
"];
"];
0x4a6d7e0 [label="foo0x4a6d770 [label="if0x4a6d470 [label="<=0x4a6d340 [label="-0x4a6cf00 [label="+0x4a6cd80 [label="2"];
0x4a6ce40 [label="3"];
"];
0x4a6d280 [label="*0x4a6d010 [label="var"];
0x4a6d1c0 [label="y"];
"];
"];
0x4a6d400 [label="7"];
"];
0x4a6d700 [label="=0x4a6d640 [label="var"];
0x4a6d5d0 [label="2"];
"];
"];
0x4a6ed00 [label="foo0x4a6ec90 [label="if0x4a6e0d0 [label="<=0x4a6dfa0 [label="-0x4a6db60 [label="+0x4a6d9e0 [label="2"];
0x4a6daa0 [label="3"];
"];
0x4a6dee0 [label="*0x4a6dc70 [label="var"];
0x4a6de20 [label="y"];
"];
"];
0x4a6e060 [label="7"];
"];
0x4a6e360 [label="=0x4a6e2a0 [label="var"];
0x4a6e230 [label="2"];
"];
0x4a6e990 [label="if0x4a6e690 [label=">0x4a6e510 [label="a"];
0x4a6e5d0 [label="2"];
"];
0x4a6e920 [label="=0x4a6e860 [label="c"];
0x4a6e7f0 [label="7"];
"];
0x4a6ec20 [label="=0x4a6eb60 [label="var"];
0x4a6eaf0 [label="18"];
"];
"];
"];
0x4a6ff20 [label="foo0x4a6feb0 [label="for0x4a6f0d0 [label="=0x4a6f010 [label="i"];
0x4a6efa0 [label="0"];
"];
0x4a6f360 [label="<0x4a6f1e0 [label="i"];
0x4a6f2a0 [label="100"];
"];
0x4a6f7c0 [label="=0x4a6f700 [label="i"];
0x4a6f690 [label="+0x4a6f510 [label="i"];
0x4a6f5d0 [label="1"];
"];
"];
0x4a6fc20 [label="=0x4a6fb60 [label="mult"];
0x4a6faf0 [label="*0x4a6f920 [label="10"];
0x4a6fa30 [label="i"];
"];
0x4a6fe40 [label="output0x4a6fdd0 [label="mult"];
"];
"];
"];
0x4a70c70 [label="foo0x4a70c00 [label="while0x4a70510 [label="<0x4a70390 [label="+0x4a70210 [label="counter"];
0x4a702d0 [label="7"];
"];
0x4a70450 [label="10"];
"];
0x4a70730 [label="output0x4a706c0 [label="counter"];
0x4a70b90 [label="=0x4a70ad0 [label="counter"];
0x4a70a60 [label="+0x4a708e0 [label="counter"];
0x4a709a0 [label="1"];
"];
"];
"];
"];
0x4a71450 [label="foo0x4a71040 [label="=0x4a70f80 [label="counter"];
0x4a70f10 [label="11"];
0x4a713e0 [label="while0x4a71370 [label="<0x4a711f0 [label="counter"];
0x4a712b0 [label="10"];
"];
"];
"];
0x4a75450 [label="expressions0x4a717d0 [label="=0x4a71710 [label="exp"];
0x4a716a0 [label="ident"];
0x4a721a0 [label="=0x4a720e0 [label="exp"];
0x4a71930 [label="?0x4a72070 [label="+0x4a719f0 [label="?0x4a71bc0 [label="call soma"];
"];
0x4a71fb0 [label="[]0x4a71ea0 [label="vetor"];
0x4a71d20 [label="#0x4a71e30 [label="h_table"];
"];
"];
"];
"];
0x4a72a10 [label="=0x4a72950 [label="exp"];
0x4a728e0 [label="[]0x4a727d0 [label="ident"];
0x4a72760 [label="+0x4a723a0 [label="-0x4a72460 [label="10"];
"];
0x4a726a0 [label="*0x4a72520 [label="5"];
0x4a725e0 [label="5"];
"];
"];
"];
0x4a73150 [label="=0x4a73090 [label="exp"];
0x4a73020 [label="[]0x4a72f10 [label="ident"];
0x4a72ea0 [label=">0x4a72c10 [label="!0x4a72d20 [label="cond"];
"];
0x4a72de0 [label="10"];
"];
"];
0x4a74230 [label="=0x4a74170 [label="exp"];
0x4a74100 [label="&&0x4a73520 [label=">0x4a732b0 [label="10"];
0x4a73460 [label="var"];
"];
0x4a74090 [label="?:0x4a737b0 [label=">0x4a73630 [label="oper"];
0x4a736f0 [label="2"];
"];
0x4a73b70 [label="/0x4a739f0 [label="*0x4a73870 [label="7"];
0x4a73930 [label="4"];
"];
0x4a73ab0 [label="2"];
"];
0x4a73f80 [label="+0x4a73e00 [label="^0x4a73c80 [label="a"];
0x4a73d40 [label="7"];
"];
0x4a73ec0 [label="4"];
"];
"];
"];
0x4a753e0 [label="=0x4a75320 [label="exp"];
0x4a752b0 [label="&&0x4a74600 [label=">0x4a74390 [label="10"];
0x4a74540 [label="var"];
"];
0x4a75240 [label="?:0x4a74ab0 [label=">0x4a74930 [label="call soma"];
0x4a749f0 [label="3"];
"];
0x4a74b70 [label="-0x4a74d90 [label="call square"];
"];
0x4a75130 [label="*0x4a74e50 [label="3"];
0x4a75070 [label="call square"];
"];
"];
"];
"];
"];
"];
"];
"];
"];
0x4a79560 [label="arithmetic_expressions0x4a75910 [label="=0x4a75850 [label="exp"];
0x4a757e0 [label="+0x4a75660 [label="2"];
0x4a75720 [label="3.200000"];
"];
0x4a75ef0 [label="=0x4a75e30 [label="exp"];
0x4a75dc0 [label="+0x4a75ac0 [label="valor"];
0x4a75d00 [label="/0x4a75b80 [label="7"];
0x4a75c40 [label="2"];
"];
"];
0x4a76d90 [label="=0x4a76cd0 [label="exp"];
0x4a76c60 [label="-0x4a76ae0 [label="+0x4a76270 [label="[]0x4a76160 [label="vetor"];
0x4a760f0 [label="2"];
"];
0x4a76a20 [label="[]0x4a76910 [label="vetor"];
0x4a768a0 [label="-0x4a765a0 [label="*0x4a76420 [label="valor"];
0x4a764e0 [label="7"];
"];
0x4a767e0 [label="/0x4a76660 [label="2"];
0x4a76720 [label="4"];
"];
"];
"];
"];
0x4a76ba0 [label="42.419998"];
"];
0x4a78290 [label="=0x4a781d0 [label="exp"];
0x4a78160 [label="-0x4a772e0 [label="+0x4a77110 [label="[]0x4a77000 [label="vetor"];
0x4a76f90 [label="2"];
"];
0x4a77220 [label="valor"];
"];
0x4a780a0 [label="%0x4a77da0 [label="/0x4a77c20 [label="*0x4a77610 [label="[]0x4a77500 [label="vetor"];
0x4a77490 [label="valor"];
"];
0x4a77b60 [label="[]0x4a77a50 [label="vetor"];
0x4a779e0 [label="call soma"];
"];
"];
0x4a77ce0 [label="7.500000"];
"];
0x4a77fe0 [label="^0x4a77e60 [label="3"];
0x4a77f20 [label="9"];
"];
"];
"];
0x4a794f0 [label="=0x4a79430 [label="exp"];
0x4a793c0 [label="+0x4a79130 [label="+0x4a78ea0 [label="+0x4a78c10 [label="+0x4a78980 [label="+0x4a786f0 [label="+0x4a783f0 [label="+0x4a784b0 [label="7"];
"];
0x4a78570 [label="-0x4a78630 [label="3"];
"];
"];
0x4a787b0 [label="!0x4a788c0 [label="b"];
"];
"];
0x4a78a40 [label="&0x4a78b50 [label="k"];
"];
"];
0x4a78cd0 [label="*0x4a78de0 [label="f"];
"];
"];
0x4a78f60 [label="?0x4a79070 [label="e"];
"];
"];
0x4a791f0 [label="#0x4a79300 [label="hash"];
"];
"];
"];
"];
"];
"];
"];
0x4a7f500 [label="logical_expressions0x4a79b10 [label="=0x4a79a50 [label="exp"];
0x4a799e0 [label="&&0x4a79860 [label="a"];
0x4a79970 [label="b"];
"];
0x4a7a010 [label="=0x4a79f50 [label="exp"];
0x4a79ee0 [label="||0x4a79d60 [label="a"];
0x4a79e70 [label="b"];
"];
0x4a7a4c0 [label="=0x4a7a400 [label="exp"];
0x4a7a390 [label="|0x4a7a1c0 [label="a"];
0x4a7a2d0 [label="b"];
"];
0x4a7a970 [label="=0x4a7a8b0 [label="exp"];
0x4a7a840 [label="&0x4a7a670 [label="a"];
0x4a7a780 [label="b"];
"];
0x4a7ae20 [label="=0x4a7ad60 [label="exp"];
0x4a7acf0 [label=">0x4a7ab20 [label="a"];
0x4a7ac30 [label="b"];
"];
0x4a7b2d0 [label="=0x4a7b210 [label="exp"];
0x4a7b1a0 [label="<0x4a7afd0 [label="a"];
0x4a7b0e0 [label="b"];
"];
0x4a7b7d0 [label="=0x4a7b710 [label="exp"];
0x4a7b6a0 [label=">=0x4a7b520 [label="a"];
0x4a7b630 [label="b"];
"];
0x4a7bcd0 [label="=0x4a7bc10 [label="exp"];
0x4a7bba0 [label="<=0x4a7ba20 [label="a"];
0x4a7bb30 [label="b"];
"];
0x4a7c1d0 [label="=0x4a7c110 [label="exp"];
0x4a7c0a0 [label="!=0x4a7bf20 [label="a"];
0x4a7c030 [label="b"];
"];
0x4a7c6d0 [label="=0x4a7c610 [label="exp"];
0x4a7c5a0 [label="==0x4a7c420 [label="a"];
